IdPunto	Latitud	Longitud	Descripcion
2	-17,800659	-63,185692	P 2    
3	-17,783154	-63,172292	P 3    
4	-17,797887	-63,215916	P 4    
5	-17,79769	-63,216896	P 5    
6	-17,773615	-63,191947	P 6    
7	-17,798871	-63,168768	P 7    
8	-17,812585	-63,190361	P 8    
9	-17,794373	-63,162225	P 9    
10	-17,823166	-63,210237	P 10   
11	-17,773479	-63,191992	P 11   
12	-17,728354	-63,1569	P 12   
13	-17,747593	-63,152501	P 13   
14	-17,79691	-63,216193	P 14   
15	-17,775429	-63,182082	P 15   
16	-17,789683	-63,182999	P 16   
17	-17,785668	-63,171699	P 17   
18	-17,782832	-63,172338	P 18   
19	-17,793855	-63,188001	P 19   
20	-17,795957	-63,190393	P 20   
21	-17,794593	-63,188849	P 21   
22	-17,795382	-63,189749	P 22   
23	-17,822333	-63,183951	P 23   
24	-17,794182	-63,203708	P 24   
25	-17,822362	-63,186926	P 25   
26	-17,82235	-63,184681	P 26   
27	-17,822174	-63,188176	P 27   
28	-17,822262	-63,184551	P 28   
29	-17,823119	-63,183971	P 29   
30	-17,822943	-63,182796	P 30   
31	-17,822043	-63,177635	P 31   
32	-17,821869	-63,177368	P 32   
33	-17,822501	-63,180546	P 33   
34	-17,822532	-63,180916	P 34   
35	-17,822546	-63,181261	P 35   
36	-17,822581	-63,182698	P 36   
37	-17,822592	-63,183426	P 37   
38	-17,822231	-63,178353	P 38   
39	-17,822354	-63,179053	P 39   
40	-17,822562	-63,181967	P 40   
41	-17,803882	-63,152714	P 41   
42	-17,8025	-63,151874	P 42   
43	-17,799424	-63,168729	P 43   
44	-17,79922	-63,168824	P 44   
45	-17,803442	-63,166186	P 45   
46	-17,801146	-63,167684	P 46   
47	-17,800338	-63,168195	P 47   
48	-17,801839	-63,167222	P 48   
49	-17,802571	-63,166754	P 49   
50	-17,771972	-63,202715	P 50   
51	-17,796365	-63,211151	P 51   
52	-17,796706	-63,212666	P 52   
53	-17,797056	-63,214215	P 53   
54	-17,795631	-63,2079	P 54   
55	-17,795479	-63,207248	P 55   
56	-17,79589	-63,209025	P 56   
57	-17,795755	-63,208427	P 57   
58	-17,795299	-63,206495	P 58   
59	-17,796022	-63,209614	P 59   
60	-17,796197	-63,210384	P 60   
61	-17,773776	-63,190694	P 61   
62	-17,772492	-63,200948	P 62   
63	-17,772863	-63,198106	P 63   
64	-17,772743	-63,199026	P 64   
65	-17,773591	-63,192213	P 65   
66	-17,796925	-63,215907	P 66   
67	-17,800904	-63,161072	P 67   
68	-17,800521	-63,160633	P 68   
69	-17,800683	-63,161088	P 69   
70	-17,800864	-63,160725	P 70   
71	-17,800944	-63,160835	P 71   
72	-17,804548	-63,165127	P 72   
73	-17,804746	-63,165454	P 73   
74	-17,803821	-63,165711	P 74   
75	-17,803299	-63,16605	P 75   
76	-17,802772	-63,166379	P 76   
77	-17,800351	-63,167956	P 77   
78	-17,799873	-63,168238	P 78   
79	-17,802286	-63,166704	P 79   
80	-17,801768	-63,167033	P 80   
81	-17,78721	-63,161987	P 81   
82	-17,794469	-63,162333	P 82   
83	-17,785362	-63,171374	P 83   
84	-17,813072	-63,189193	P 84   
85	-17,795477	-63,207774	P 85   
86	-17,795769	-63,209076	P 86   
87	-17,795616	-63,208418	P 87   
88	-17,796981	-63,214448	P 88   
89	-17,796829	-63,213791	P 89   
90	-17,796365	-63,211726	P 90   
91	-17,796214	-63,21106	P 91   
92	-17,796066	-63,210423	P 92   
93	-17,796677	-63,213136	P 93   
94	-17,796763	-63,213488	P 94   
95	-17,797111	-63,21501	P 95   
96	-17,796408	-63,211944	P 96   
97	-17,796527	-63,212441	P 97   
98	-17,797073	-63,21568	P 98   
99	-17,795016	-63,205255	P 99   
100	-17,794595	-63,204577	P 100  
101	-17,794776	-63,205661	P 101  
102	-17,794814	-63,205361	P 102  
103	-17,795301	-63,205569	P 103  
104	-17,798967	-63,170052	P 104  
105	-17,79486	-63,16361	P 105  
106	-17,794883	-63,16404	P 106  
107	-17,794075	-63,162298	P 107  
108	-17,792814	-63,16269	P 108  
109	-17,798234	-63,174741	P 109  
110	-17,774749	-63,176123	P 110  
111	-17,798731	-63,17148	P 111  
112	-17,798438	-63,173222	P 112  
113	-17,821716	-63,177264	P 113  
114	-17,784528	-63,157565	P 114  
115	-17,785638	-63,149267	P 115  
116	-17,785584	-63,150904	P 116  
117	-17,785607	-63,150147	P 117  
118	-17,785555	-63,151671	P 118  
119	-17,772325	-63,179755	P 119  
120	-17,774307	-63,179955	P 120  
121	-17,784913	-63,159266	P 121  
122	-17,822502	-63,177208	P 122  
123	-17,822438	-63,177334	P 123  
124	-17,822238	-63,176665	P 124  
125	-17,789241	-63,189251	P 125  
126	-17,788974	-63,1895	P 126  
127	-17,799646	-63,22061	P 127  
128	-17,785257	-63,147769	P 128  
129	-17,787956	-63,147967	P 129  
130	-17,789192	-63,148093	P 130  
131	-17,787258	-63,147919	P 131  
132	-17,789407	-63,148076	P 132  
133	-17,784868	-63,17087	P 133  
134	-17,77352	-63,180561	P 134  
135	-17,774269	-63,183458	P 135  
136	-17,773835	-63,183078	P 136  
137	-17,775062	-63,172799	P 137  
138	-17,772301	-63,201525	P 138  
139	-17,772392	-63,200812	P 139  
140	-17,773238	-63,194097	P 140  
141	-17,772776	-63,197718	P 141  
142	-17,773059	-63,195504	P 142  
143	-17,773772	-63,170093	P 143  
144	-17,794671	-63,184076	P 144  
145	-17,795232	-63,183992	P 145  
146	-17,794137	-63,184158	P 146  
147	-17,79358	-63,184231	P 147  
148	-17,727143	-63,160697	P 148  
149	-17,727731	-63,15929	P 149  
150	-17,726873	-63,161343	P 150  
151	-17,727666	-63,159445	P 151  
152	-17,743956	-63,148804	P 152  
153	-17,715329	-63,166773	P 153  
154	-17,716388	-63,162162	P 154  
155	-17,715541	-63,165838	P 155  
156	-17,798211	-63,217852	P 156  
157	-17,801568	-63,225981	P 157  
158	-17,800678	-63,224013	P 158  
159	-17,79914	-63,219782	P 159  
160	-17,799627	-63,221126	P 160  
161	-17,798956	-63,219348	P 161  
162	-17,800118	-63,222462	P 162  
163	-17,798518	-63,218479	P 163  
164	-17,800931	-63,224674	P 164  
165	-17,771843	-63,205253	P 165  
166	-17,771607	-63,206879	P 166  
167	-17,771706	-63,206184	P 167  
168	-17,771422	-63,208311	P 168  
170	-17,772682	-63,198477	P 170  
171	-17,797152	-63,216532	P 171  
172	-17,772622	-63,198966	P 172  
173	-17,772379	-63,204235	P 173  
174	-17,772565	-63,199412	P 174  
175	-17,772457	-63,200328	P 175  
176	-17,786061	-63,168389	P 176  
177	-17,785158	-63,170805	P 177  
178	-17,786429	-63,167589	P 178  
179	-17,801616	-63,185576	P 179  
180	-17,790301	-63,195252	P 180  
181	-17,790749	-63,195799	P 181  
182	-17,790491	-63,192173	P 182  
183	-17,808996	-63,189172	P 183  
184	-17,8097	-63,18916	P 184  
185	-17,810402	-63,190211	P 185  
186	-17,811551	-63,190273	P 186  
187	-17,798676	-63,193177	P 187  
188	-17,80107	-63,185111	P 188  
189	-17,801415	-63,187196	P 189  
190	-17,821785	-63,189351	P 190  
191	-17,811562	-63,189131	P 191  
192	-17,823282	-63,200301	P 192  
193	-17,824209	-63,200761	P 193  
194	-17,826557	-63,201962	P 194  
195	-17,825881	-63,201611	P 195  
196	-17,8224	-63,199842	P 196  
197	-17,819484	-63,19788	P 197  
198	-17,824228	-63,200929	P 198  
199	-17,819177	-63,198759	P 199  
200	-17,826297	-63,201976	P 200  
201	-17,822212	-63,199924	P 201  
202	-17,820553	-63,199058	P 202  
203	-17,821331	-63,199477	P 203  
204	-17,823167	-63,177096	P 204  
205	-17,822694	-63,178931	P 205  
206	-17,784982	-63,169975	P 206  
207	-17,786228	-63,167596	P 207  
208	-17,785672	-63,168756	P 208  
209	-17,786994	-63,164969	P 209  
210	-17,78538	-63,169641	P 210  
211	-17,785944	-63,168246	P 211  
212	-17,770609	-63,181092	P 212  
213	-17,773963	-63,173053	P 213  
214	-17,773758	-63,174562	P 214  
215	-17,77427	-63,170629	P 215  
216	-17,77286	-63,169961	P 216  
217	-17,773546	-63,17139	P 217  
218	-17,774553	-63,172574	P 218  
219	-17,773103	-63,169709	P 219  
220	-17,774746	-63,171222	P 220  
221	-17,773189	-63,170719	P 221  
222	-17,773982	-63,172018	P 222  
223	-17,770697	-63,169453	P 223  
224	-17,793711	-63,203144	P 224  
225	-17,792413	-63,200153	P 225  
226	-17,792913	-63,201291	P 226  
227	-17,79104	-63,196961	P 227  
228	-17,79121	-63,19736	P 228  
229	-17,791963	-63,199107	P 229  
230	-17,79139	-63,197777	P 230  
231	-17,791682	-63,198452	P 231  
232	-17,790066	-63,192198	P 232  
233	-17,790395	-63,194988	P 233  
234	-17,790506	-63,195245	P 234  
235	-17,793002	-63,20101	P 235  
236	-17,792462	-63,199755	P 236  
237	-17,79219	-63,199123	P 237  
238	-17,79373	-63,202687	P 238  
239	-17,793076	-63,165243	P 239  
240	-17,791133	-63,164807	P 240  
241	-17,787462	-63,163968	P 241  
242	-17,785013	-63,159573	P 242  
243	-17,78814	-63,162751	P 243  
244	-17,784624	-63,158168	P 244  
245	-17,7858	-63,160916	P 245  
246	-17,786827	-63,161973	P 246  
247	-17,7861	-63,161257	P 247  
248	-17,785471	-63,154101	P 248  
249	-17,78542	-63,15565	P 249  
250	-17,785372	-63,156404	P 250  
251	-17,785446	-63,154876	P 251  
252	-17,785043	-63,148099	P 252  
253	-17,751218	-63,155013	P 253  
254	-17,75456	-63,157981	P 254  
255	-17,771997	-63,205205	P 255  
256	-17,822097	-63,209619	P 256  
257	-17,823352	-63,210611	P 257  
258	-17,824771	-63,211991	P 258  
259	-17,818976	-63,199131	P 259  
260	-17,790142	-63,145223	P 260  
261	-17,802902	-63,15096	P 261  
262	-17,804683	-63,147477	P 262  
263	-17,807644	-63,141523	P 263  
264	-17,809751	-63,149399	P 264  
265	-17,810037	-63,149504	P 265  
266	-17,812828	-63,136555	P 266  
267	-17,808439	-63,141674	P 267  
268	-17,809108	-63,150524	P 268  
269	-17,807273	-63,14149	P 269  
270	-17,81088	-63,14301	P 270  
271	-17,811451	-63,143501	P 271  
272	-17,809128	-63,141921	P 272  
273	-17,81151	-63,146429	P 273  
274	-17,803443	-63,149246	P 274  
275	-17,791547	-63,135802	P 275  
276	-17,789803	-63,148449	P 276  
277	-17,789756	-63,146519	P 277  
278	-17,789976	-63,145648	P 278  
279	-17,790117	-63,143081	P 279  
280	-17,789452	-63,148428	P 280  
281	-17,810773	-63,142063	P 281  
282	-17,790787	-63,141265	P 282  
283	-17,79127	-63,138685	P 283  
284	-17,791568	-63,137143	P 284  
285	-17,790742	-63,141546	P 285  
286	-17,791383	-63,139286	P 286  
287	-17,796956	-63,124463	P 287  
288	-17,790307	-63,142366	P 288  
289	-17,791236	-63,140815	P 289  
290	-17,796887	-63,125619	P 290  
291	-17,790034	-63,144925	P 291  
292	-17,771693	-63,207229	P 292  
293	-17,771594	-63,207907	P 293  
294	-17,771886	-63,205865	P 294  
295	-17,771785	-63,206539	P 295  
296	-17,771507	-63,208578	P 296  
297	-17,825395	-63,234535	P 297  
298	-17,851256	-63,200021	P 298  
299	-17,822841	-63,209964	P 299  
300	-17,82393	-63,211123	P 300  
301	-17,823778	-63,21072	P 301  
302	-17,825329	-63,212396	P 302  
303	-17,826171	-63,213452	P 303  
304	-17,824901	-63,211861	P 304  
305	-17,824336	-63,211206	P 305  
306	-17,790159	-63,194929	P 306  
307	-17,77378	-63,191537	P 307  
308	-17,771206	-63,168472	P 308  
309	-17,715174	-63,166759	P 309  
310	-17,80775	-63,131257	P 310  
311	-17,807728	-63,131671	P 311  
312	-17,807788	-63,130559	P 312  
313	-17,807689	-63,132376	P 313  
314	-17,807766	-63,130968	P 314  
315	-17,736222	-63,139015	P 315  
316	-17,736804	-63,139339	P 316  
317	-17,737063	-63,139458	P 317  
318	-17,723415	-63,14421	P 318  
319	-17,807369	-63,136089	P 319  
320	-17,812365	-63,129577	P 320  
321	-17,807293	-63,138979	P 321  
322	-17,737091	-63,139613	P 322  
323	-17,812043	-63,134125	P 323  
324	-17,807334	-63,136626	P 324  
325	-17,80736	-63,137972	P 325  
326	-17,812241	-63,131168	P 326  
327	-17,812294	-63,130395	P 327  
328	-17,726407	-63,161705	P 328  
329	-17,726633	-63,133856	P 329  
330	-17,737127	-63,139935	P 330  
331	-17,811977	-63,134914	P 331  
332	-17,811075	-63,147442	P 332  
333	-17,722842	-63,151171	P 333  
334	-17,741409	-63,147087	P 334  
335	-17,740393	-63,148781	P 335  
336	-17,807136	-63,141473	P 336  
337	-17,724997	-63,16534	P 337  
338	-17,825252	-63,131613	P 338  
339	-17,825334	-63,132444	P 339  
340	-17,825665	-63,133095	P 340  
341	-17,826003	-63,133771	P 341  
342	-17,816853	-63,139221	P 342  
343	-17,812961	-63,136853	P 343  
344	-17,816283	-63,139024	P 344  
345	-17,815356	-63,137611	P 345  
346	-17,815284	-63,137929	P 346  
347	-17,812466	-63,131893	P 347  
348	-17,813958	-63,136743	P 348  
349	-17,812839	-63,127095	P 349  
350	-17,813011	-63,124355	P 350  
351	-17,813101	-63,122903	P 351  
352	-17,812925	-63,125717	P 352  
353	-17,812946	-63,125388	P 353  
354	-17,812885	-63,126362	P 354  
355	-17,812968	-63,125036	P 355  
356	-17,813333	-63,119204	P 356  
357	-17,813298	-63,119759	P 357  
358	-17,813148	-63,122156	P 358  
359	-17,813405	-63,118045	P 359  
360	-17,813642	-63,11427	P 360  
361	-17,81369	-63,113506	P 361  
362	-17,813904	-63,110085	P 362  
363	-17,812302	-63,13438	P 363  
364	-17,821777	-63,188784	P 364  
365	-17,826825	-63,13477	P 365  
366	-17,825976	-63,133145	P 366  
367	-17,828068	-63,137206	P 367  
368	-17,827133	-63,135404	P 368  
369	-17,827972	-63,137023	P 369  
370	-17,827037	-63,135207	P 370  
371	-17,821886	-63,189486	P 371  
372	-17,822326	-63,189534	P 372  
373	-17,789937	-63,142994	P 373  
374	-17,797166	-63,124272	P 374  
375	-17,796857	-63,126316	P 375  
376	-17,797366	-63,116895	P 376  
377	-17,797233	-63,119279	P 377  
378	-17,796922	-63,124908	P 378  
379	-17,797048	-63,122669	P 379  
380	-17,797451	-63,115312	P 380  
381	-17,797306	-63,122688	P 381  
382	-17,79713	-63,124972	P 382  
383	-17,812529	-63,127818	P 383  
384	-17,797486	-63,119279	P 384  
385	-17,797111	-63,126163	P 385  
386	-17,797615	-63,11686	P 386  
387	-17,797742	-63,11519	P 387  
388	-17,797948	-63,108601	P 388  
389	-17,797857	-63,113028	P 389  
390	-17,797944	-63,111041	P 390  
391	-17,812828	-63,122896	P 391  
392	-17,812696	-63,125049	P 392  
393	-17,813017	-63,11981	P 393  
394	-17,812874	-63,122139	P 394  
395	-17,812676	-63,125374	P 395  
396	-17,813124	-63,118063	P 396  
397	-17,797653	-63,111679	P 397  
398	-17,823997	-63,09515	P 398  
399	-17,72531	-63,140813	P 399  
400	-17,80311	-63,091194	P 400  
401	-17,80215	-63,095997	P 401  
402	-17,802178	-63,097462	P 402  
403	-17,802169	-63,096701	P 403  
404	-17,802529	-63,093722	P 404  
405	-17,798144	-63,100068	P 405  
406	-17,798166	-63,099398	P 406  
407	-17,797997	-63,102164	P 407  
408	-17,797913	-63,103191	P 408  
409	-17,797861	-63,106452	P 409  
410	-17,797861	-63,107104	P 410  
411	-17,798096	-63,100747	P 411  
412	-17,797862	-63,104474	P 412  
413	-17,803913	-63,089107	P 413  
414	-17,82004	-63,105726	P 414  
415	-17,819797	-63,106195	P 415  
416	-17,819667	-63,106129	P 416  
417	-17,802754	-63,091518	P 417  
418	-17,821149	-63,103012	P 418  
419	-17,820986	-63,102925	P 419  
420	-17,8029	-63,091125	P 420  
421	-17,802339	-63,093531	P 421  
422	-17,821549	-63,101504	P 422  
423	-17,803134	-63,090524	P 423  
424	-17,802004	-63,095969	P 424  
425	-17,723827	-63,13984	P 425  
426	-17,797981	-63,105782	P 426  
427	-17,822768	-63,098839	P 427  
428	-17,823171	-63,097828	P 428  
429	-17,821742	-63,101492	P 429  
430	-17,821328	-63,102558	P 430  
431	-17,81974	-63,106343	P 431  
432	-17,820297	-63,105097	P 432  
433	-17,820817	-63,103832	P 433  
434	-17,821084	-63,103207	P 434  
435	-17,822037	-63,100198	P 435  
436	-17,821232	-63,102277	P 436  
437	-17,723151	-63,144299	P 437  
438	-17,820121	-63,105036	P 438  
439	-17,723501	-63,143733	P 439  
440	-17,822365	-63,099348	P 440  
441	-17,819424	-63,106692	P 441  
442	-17,822901	-63,098003	P 442  
443	-17,819775	-63,105874	P 443  
444	-17,823466	-63,096524	P 444  
445	-17,723876	-63,143128	P 445  
446	-17,822149	-63,099929	P 446  
447	-17,722889	-63,150998	P 447  
448	-17,819331	-63,106951	P 448  
449	-17,820389	-63,104402	P 449  
450	-17,801994	-63,098146	P 450  
451	-17,798075	-63,10861	P 451  
452	-17,821928	-63,100505	P 452  
453	-17,802615	-63,092159	P 453  
455	-17,772729	-63,198088	P 455  
457	-17,785099	-63,170274	P 457  
458	-17,787126	-63,165059	P 458  
459	-17,837326	-63,222974	P 459  
460	-17,821463	-63,209257	P 460  
461	-17,786487	-63,148214	P 461  
462	-17,788534	-63,148355	P 462  
463	-17,784837	-63,148084	P 463  
464	-17,79149	-63,137994	P 464  
465	-17,791456	-63,138448	P 465  
466	-17,791289	-63,140269	P 466  
467	-17,791621	-63,136563	P 467  
468	-17,791155	-63,139897	P 468  
469	-17,799808	-63,22105	P 469  
470	-17,798271	-63,217545	P 470  
471	-17,798043	-63,217098	P 471  
472	-17,770528	-63,123276	P 472  
473	-17,817211	-63,140021	P 473  
474	-17,816943	-63,139736	P 474  
475	-17,81479	-63,137471	P 475  
476	-17,737379	-63,142082	P 476  
477	-17,823274	-63,097017	P 477  
478	-17,822605	-63,098738	P 478  
479	-17,820448	-63,10422	P 479  
480	-17,8112	-63,147789	P 480  
481	-17,81492	-63,137269	P 481  
482	-17,811579	-63,145856	P 482  
483	-17,802013	-63,097174	P 483  
484	-17,802054	-63,095326	P 484  
485	-17,773436	-63,192408	P 485  
486	-17,807365	-63,135947	P 486  
487	-17,80517	-63,145883	P 487  
488	-17,80706	-63,140764	P 488  
489	-17,807275	-63,137507	P 489  
490	-17,812152	-63,132544	P 490  
491	-17,812421	-63,132569	P 491  
492	-17,773899	-63,174731	P 492  
493	-17,809329	-63,141253	P 493  
494	-17,808298	-63,151428	P 494  
495	-17,803754	-63,14861	P 495  
496	-17,80311	-63,149918	P 496  
497	-17,805093	-63,145985	P 497  
498	-17,803029	-63,090792	P 498  
499	-17,791126	-63,140253	P 499  
500	-17,72716	-63,159949	P 500  
501	-17,726648	-63,161143	P 501  
502	-17,726911	-63,16053	P 502  
503	-17,793983	-63,203741	P 503  
504	-17,793306	-63,201718	P 504  
505	-17,811403	-63,144951	P 505  
506	-17,810739	-63,148634	P 506  
507	-17,728906	-63,133868	P 507  
508	-17,771622	-63,179437	P 508  
509	-17,770574	-63,179741	P 509  
510	-17,811501	-63,143642	P 510  
511	-17,811933	-63,14341	P 511  
512	-17,797789	-63,113779	P 512  
513	-17,716189	-63,162329	P 513  
514	-17,727702	-63,158523	P 514  
515	-17,736941	-63,141792	P 515  
516	-17,807966	-63,140885	P 516  
517	-17,771767	-63,168445	P 517  
518	-17,774286	-63,172365	P 518  
519	-17,773097	-63,170524	P 519  
520	-17,773276	-63,193782	P 520  
521	-17,801188	-63,187061	P 521  
522	-17,801433	-63,196298	P 522  
523	-17,774714	-63,183418	P 523  
524	-17,775097	-63,171713	P 524  
525	-17,773661	-63,17002	P 525  
526	-17,772317	-63,168909	P 526  
527	-17,778593	-63,18192	P 527  
528	-17,777496	-63,18198	P 528  
529	-17,780697	-63,181794	P 529  
530	-17,788222	-63,178471	P 530  
531	-17,777814	-63,184325	P 531  
532	-17,795636	-63,190034	P 532  
533	-17,811712	-63,208216	P 533  
534	-17,811864	-63,208391	P 534  
535	-17,798665	-63,169209	P 535  
536	-17,822901	-63,180912	P 536  
537	-17,82244	-63,179819	P 537  
538	-17,782595	-63,179461	P 538  
539	-17,783611	-63,179337	P 539  
540	-17,781593	-63,17958	P 540  
541	-17,79035	-63,182914	P 541  
542	-17,789468	-63,18302	P 542  
543	-17,803376	-63,089852	P 543  
544	-17,77062	-63,123163	P 544  
545	-17,78983	-63,184896	P 545  
546	-17,797237	-63,214986	P 546  
547	-17,796531	-63,211913	P 547  
548	-17,796889	-63,213451	P 548  
549	-17,804641	-63,165179	P 549  
550	-17,79934	-63,168529	P 550  
551	-17,800927	-63,167582	P 551  
552	-17,812953	-63,190122	P 552  
553	-17,78568	-63,147798	P 553  
554	-17,780441	-63,187342	P 554  
555	-17,785654	-63,148939	P 555  
556	-17,784278	-63,174697	P 556  
557	-17,771525	-63,168154	P 557  
558	-17,799402	-63,219952	P 558  
559	-17,799118	-63,219264	P 559  
560	-17,800578	-63,223155	P 560  
561	-17,78983	-63,148083	P 561  
562	-17,784923	-63,170173	P 562  
563	-17,774163	-63,174013	P 563  
564	-17,775155	-63,17377	P 564  
565	-17,775311	-63,17272	P 565  
566	-17,726594	-63,16201	P 566  
567	-17,735626	-63,143181	P 567  
568	-17,736344	-63,142472	P 568  
569	-17,725416	-63,164189	P 569  
570	-17,727415	-63,132403	P 570  
571	-17,74175	-63,148564	P 571  
572	-17,716132	-63,163273	P 572  
573	-17,715771	-63,164845	P 573  
574	-17,800405	-63,223259	P 574  
575	-17,801468	-63,185051	P 575  
576	-17,790992	-63,196328	P 576  
577	-17,790866	-63,196542	P 577  
578	-17,791289	-63,191905	P 578  
579	-17,809061	-63,190248	P 579  
580	-17,828201	-63,202808	P 580  
581	-17,819547	-63,198014	P 581  
582	-17,828143	-63,202928	P 582  
583	-17,787309	-63,164558	P 583  
584	-17,770577	-63,182154	P 584  
585	-17,791928	-63,191326	P 585  
586	-17,787487	-63,16426	P 586  
587	-17,787333	-63,164237	P 587  
